registrationNumber,fuelType,monthOfFirstRegistration
ORZ1598,Diesel,2020-03-01 00:00:00 UTC
ORZ6755,Diesel,2020-03-01 00:00:00 UTC
RGZ3683,Diesel,2020-03-01 00:00:00 UTC
UIG7890,Diesel,2020-03-01 00:00:00 UTC
UIG8424,Diesel,2020-03-01 00:00:00 UTC
OXZ3147,Diesel,2020-03-01 00:00:00 UTC
DSZ6252,Diesel,2020-03-01 00:00:00 UTC
OXZ4359,Diesel,2020-03-01 00:00:00 UTC
RGZ2220,Diesel,2020-03-01 00:00:00 UTC
RRZ4202,Diesel,2020-03-01 00:00:00 UTC
PRZ3573,Diesel,2020-03-01 00:00:00 UTC
CSZ8467,Diesel,2020-03-01 00:00:00 UTC
RRZ3991,Diesel,2020-03-01 00:00:00 UTC
UIG8426,Diesel,2020-03-01 00:00:00 UTC
XUI4488,Diesel,2020-03-01 00:00:00 UTC
RRZ4198,Diesel,2020-03-01 00:00:00 UTC
RGZ3682,Diesel,2020-03-01 00:00:00 UTC
RRZ2668,Diesel,2020-03-01 00:00:00 UTC
BRZ232,Diesel,2020-03-01 00:00:00 UTC
TAZ3640,Diesel,2020-03-01 00:00:00 UTC
ESZ1063,Diesel,2020-03-01 00:00:00 UTC
XUI4484,Diesel,2020-03-01 00:00:00 UTC
RGZ3680,Diesel,2020-03-01 00:00:00 UTC
RGZ3684,Diesel,2020-03-01 00:00:00 UTC
RRZ4110,Diesel,2020-03-01 00:00:00 UTC
OXZ1119,Diesel,2020-03-01 00:00:00 UTC
ORZ5400,Diesel,2020-03-01 00:00:00 UTC
RGZ3605,Diesel,2020-03-01 00:00:00 UTC
RRZ4169,Diesel,2020-03-01 00:00:00 UTC
XUI6594,Diesel,2020-03-01 00:00:00 UTC
RGZ3599,Diesel,2020-03-01 00:00:00 UTC
RRZ4108,Diesel,2020-03-01 00:00:00 UTC
RRZ4111,Diesel,2020-03-01 00:00:00 UTC
RRZ4172,Diesel,2020-03-01 00:00:00 UTC
OXZ1200,Diesel,2020-03-01 00:00:00 UTC
NXZ2107,Diesel,2020-03-01 00:00:00 UTC
RGZ1088,Diesel,2020-03-01 00:00:00 UTC
XHZ1135,Diesel,2020-03-01 00:00:00 UTC
RRZ2659,Diesel,2020-03-01 00:00:00 UTC
VNZ1919,Diesel,2020-03-01 00:00:00 UTC
RRZ4203,Diesel,2020-03-01 00:00:00 UTC
RRZ2645,Diesel,2020-03-01 00:00:00 UTC
RRZ2495,Diesel,2020-03-01 00:00:00 UTC
RGZ2538,Diesel,2020-03-01 00:00:00 UTC
RGZ3606,Diesel,2020-03-01 00:00:00 UTC
XHZ2672,Diesel,2020-03-01 00:00:00 UTC
DSZ5715,Diesel,2020-03-01 00:00:00 UTC
RGZ3602,Diesel,2020-03-01 00:00:00 UTC
NGZ8168,Diesel,2020-03-01 00:00:00 UTC
UIG8425,Diesel,2020-03-01 00:00:00 UTC
RRZ4197,Diesel,2020-03-01 00:00:00 UTC
OXZ2342,Diesel,2020-03-01 00:00:00 UTC
RGZ3600,Diesel,2020-03-01 00:00:00 UTC
RGZ3679,Diesel,2020-03-01 00:00:00 UTC
XUI6595,Diesel,2020-03-01 00:00:00 UTC
AYZ2783,Diesel,2020-03-01 00:00:00 UTC
PGZ7517,Diesel,2020-03-01 00:00:00 UTC
PGZ7516,Diesel,2020-03-01 00:00:00 UTC
RRZ4171,Diesel,2020-03-01 00:00:00 UTC
RRZ4170,Diesel,2020-03-01 00:00:00 UTC
OGZ6639,Diesel,2020-03-01 00:00:00 UTC
RGZ3677,Diesel,2020-03-01 00:00:00 UTC
OBZ848,Diesel,2020-03-01 00:00:00 UTC
RRZ4199,Diesel,2020-03-01 00:00:00 UTC
OXZ1201,Diesel,2020-03-01 00:00:00 UTC
ESZ1799,Diesel,2020-03-01 00:00:00 UTC
OIL5115,Diesel,2020-03-01 00:00:00 UTC
OXZ1199,Diesel,2020-03-01 00:00:00 UTC
AXZ700,Diesel,2020-03-01 00:00:00 UTC
PRZ3572,Diesel,2020-03-01 00:00:00 UTC
RRZ2656,Diesel,2020-03-01 00:00:00 UTC
XUI6592,Diesel,2020-03-01 00:00:00 UTC
XUI6596,Diesel,2020-03-01 00:00:00 UTC
RGZ3039,Diesel,2020-03-01 00:00:00 UTC
RRZ4114,Diesel,2020-03-01 00:00:00 UTC
RGZ2540,Diesel,2020-03-01 00:00:00 UTC
RRZ3089,Diesel,2020-03-01 00:00:00 UTC
RRZ4173,Diesel,2020-03-01 00:00:00 UTC
HHZ131,Diesel,2020-03-01 00:00:00 UTC
XHZ2668,Diesel,2020-03-01 00:00:00 UTC
ORZ6756,Diesel,2020-03-01 00:00:00 UTC
YNZ9009,Diesel,2020-03-01 00:00:00 UTC
RRZ3115,Diesel,2020-03-01 00:00:00 UTC
RRZ4178,Diesel,2020-03-01 00:00:00 UTC
NXZ9507,Diesel,2020-03-01 00:00:00 UTC
RRZ4200,Diesel,2020-03-01 00:00:00 UTC
RRZ3883,Diesel,2020-03-01 00:00:00 UTC
RRZ4174,Diesel,2020-03-01 00:00:00 UTC
PRZ2889,Diesel,2020-03-01 00:00:00 UTC
PRZ9631,Diesel,2020-03-01 00:00:00 UTC
RRZ2512,Diesel,2020-03-01 00:00:00 UTC
RRZ3120,Diesel,2020-03-01 00:00:00 UTC
RRZ4176,Diesel,2020-03-01 00:00:00 UTC
OXZ4358,Diesel,2020-03-01 00:00:00 UTC
RRZ1777,Diesel,2020-03-01 00:00:00 UTC
RRZ4107,Diesel,2020-03-01 00:00:00 UTC
YIB402,Diesel,2020-03-01 00:00:00 UTC
RRZ4201,Diesel,2020-03-01 00:00:00 UTC
ORZ3290,Diesel,2020-03-01 00:00:00 UTC
RRZ3768,Diesel,2020-03-01 00:00:00 UTC
SIL3048,Diesel,2020-03-01 00:00:00 UTC
OBZ650,Diesel,2020-03-01 00:00:00 UTC
RGZ3601,Diesel,2020-03-01 00:00:00 UTC
XUI6593,Diesel,2020-03-01 00:00:00 UTC
YNZ7957,Diesel,2020-03-01 00:00:00 UTC
RRZ4175,Diesel,2020-03-01 00:00:00 UTC
RRZ4177,Diesel,2020-03-01 00:00:00 UTC
RGZ3678,Diesel,2020-03-01 00:00:00 UTC
RRZ3134,Diesel,2020-03-01 00:00:00 UTC
XHZ4988,Diesel,2020-03-01 00:00:00 UTC
RRZ2647,Diesel,2020-03-01 00:00:00 UTC
UKZ9797,Petrol,2020-03-01 00:00:00 UTC
RRZ4951,Petrol,2020-03-01 00:00:00 UTC
DIB2,Petrol,2020-03-01 00:00:00 UTC
RRZ4840,Petrol,2020-03-01 00:00:00 UTC
PGZ9357,Hybrid,2020-03-01 00:00:00 UTC
OXZ2981,Hybrid,2020-03-01 00:00:00 UTC
RGZ2424,Hybrid,2020-03-01 00:00:00 UTC
RGZ3665,Hybrid,2020-03-01 00:00:00 UTC
DIL1410,Diesel,2020-03-01 00:00:00 UTC
KKZ12,Diesel,2020-03-01 00:00:00 UTC
OIL1050,Diesel,2020-03-01 00:00:00 UTC
GIL6654,Petrol,2020-03-01 00:00:00 UTC
BRZ727,Petrol,2020-03-01 00:00:00 UTC
CGZ303,Petrol,2020-03-01 00:00:00 UTC
RGZ6103,Pure electric,2020-03-01 00:00:00 UTC
OXZ3122,Pure electric,2020-03-01 00:00:00 UTC
OXZ4223,Pure electric,2020-03-01 00:00:00 UTC
PGZ1554,Pure electric,2020-03-01 00:00:00 UTC
XHZ5737,Pure electric,2020-03-01 00:00:00 UTC
RGZ2522,Pure electric,2020-03-01 00:00:00 UTC
MHZ9136,Pure electric,2020-03-01 00:00:00 UTC
NXZ6991,Pure electric,2020-03-01 00:00:00 UTC
RGZ3745,Pure electric,2020-03-01 00:00:00 UTC
SKZ4,Pure electric,2020-03-01 00:00:00 UTC
RGZ3770,Pure electric,2020-03-01 00:00:00 UTC
IFZ113,Pure electric,2020-03-01 00:00:00 UTC
IXI4040,Pure electric,2020-03-01 00:00:00 UTC
RGZ6101,Pure electric,2020-03-01 00:00:00 UTC
RGZ2077,Pure electric,2020-03-01 00:00:00 UTC
OXZ2241,Hybrid,2020-03-01 00:00:00 UTC
RRZ3549,Pure electric,2020-03-01 00:00:00 UTC
YNZ9900,Pure electric,2020-03-01 00:00:00 UTC
LAZ5720,Pure electric,2020-03-01 00:00:00 UTC
AYZ2598,Pure electric,2020-03-01 00:00:00 UTC
RGZ3773,Pure electric,2020-03-01 00:00:00 UTC
RRZ3420,Pure electric,2020-03-01 00:00:00 UTC
OXZ2888,Pure electric,2020-03-01 00:00:00 UTC
BAZ5693,Pure electric,2020-03-01 00:00:00 UTC
PGZ1540,Pure electric,2020-03-01 00:00:00 UTC
PGZ9168,Pure electric,2020-03-01 00:00:00 UTC
RGZ6102,Pure electric,2020-03-01 00:00:00 UTC
RRZ3476,Pure electric,2020-03-01 00:00:00 UTC
AYZ2553,Pure electric,2020-03-01 00:00:00 UTC
UDZ74,Pure electric,2020-03-01 00:00:00 UTC
MAZ3333,Pure electric,2020-03-01 00:00:00 UTC
REZ3111,Pure electric,2020-03-01 00:00:00 UTC
RGZ2502,Pure electric,2020-03-01 00:00:00 UTC
RGZ2595,Pure electric,2020-03-01 00:00:00 UTC
RRZ2301,Pure electric,2020-03-01 00:00:00 UTC
AIG1239,Pure electric,2020-03-01 00:00:00 UTC
HAZ2330,Pure electric,2020-03-01 00:00:00 UTC
CDZ46,Pure electric,2020-03-01 00:00:00 UTC
AYZ2969,Pure electric,2020-03-01 00:00:00 UTC
EJI83,Pure electric,2020-03-01 00:00:00 UTC
OIJ158,Pure electric,2020-03-01 00:00:00 UTC
OXZ3240,Pure electric,2020-03-01 00:00:00 UTC
RGZ2351,Pure electric,2020-03-01 00:00:00 UTC
RGZ2691,Pure electric,2020-03-01 00:00:00 UTC
RRZ4112,Pure electric,2020-03-01 00:00:00 UTC
FAZ2329,Pure electric,2020-03-01 00:00:00 UTC
MIL4382,Pure electric,2020-03-01 00:00:00 UTC
XHZ6030,Pure electric,2020-03-01 00:00:00 UTC
OXZ1277,Pure electric,2020-03-01 00:00:00 UTC
XHZ5811,Pure electric,2020-03-01 00:00:00 UTC
CAZ6444,Pure electric,2020-03-01 00:00:00 UTC
JAZ334,Pure electric,2020-03-01 00:00:00 UTC
MAZ636,Pure electric,2020-03-01 00:00:00 UTC
OXZ3554,Pure electric,2020-03-01 00:00:00 UTC
SXI8999,Pure electric,2020-03-01 00:00:00 UTC
WIJ327,Pure electric,2020-03-01 00:00:00 UTC
DXI3171,Pure electric,2020-03-01 00:00:00 UTC
BHZ18,Pure electric,2020-03-01 00:00:00 UTC
RRZ3133,Pure electric,2020-03-01 00:00:00 UTC
RGZ3827,Pure electric,2020-03-01 00:00:00 UTC
XHZ5812,Pure electric,2020-03-01 00:00:00 UTC
RGZ2290,Pure electric,2020-03-01 00:00:00 UTC
RGZ4537,Pure electric,2020-03-01 00:00:00 UTC
PGZ1551,Pure electric,2020-03-01 00:00:00 UTC
PIL7015,Pure electric,2020-03-01 00:00:00 UTC
RGZ3552,Pure electric,2020-03-01 00:00:00 UTC
RIW3253,Pure electric,2020-03-01 00:00:00 UTC
UIG8569,Pure electric,2020-03-01 00:00:00 UTC
KEZ1795,Pure electric,2020-03-01 00:00:00 UTC
OIL68,Pure electric,2020-03-01 00:00:00 UTC
OXZ3538,Pure electric,2020-03-01 00:00:00 UTC
XHZ4634,Pure electric,2020-03-01 00:00:00 UTC
SGZ2411,Pure electric,2020-03-01 00:00:00 UTC
JIG8853,Pure electric,2020-03-01 00:00:00 UTC
PGZ1541,Pure electric,2020-03-01 00:00:00 UTC
RGZ2792,Pure electric,2020-03-01 00:00:00 UTC
GBZ43,Pure electric,2020-03-01 00:00:00 UTC
SGZ1225,Pure electric,2020-03-01 00:00:00 UTC
RGZ2638,Pure electric,2020-03-01 00:00:00 UTC
OXZ3115,Pure electric,2020-03-01 00:00:00 UTC
SIW1346,Pure electric,2020-03-01 00:00:00 UTC
RGZ4216,Pure electric,2020-03-01 00:00:00 UTC
RLZ848,Pure electric,2020-03-01 00:00:00 UTC
XUI6311,Pure electric,2020-03-01 00:00:00 UTC
BIL567,Pure electric,2020-03-01 00:00:00 UTC
AEZ988,Pure electric,2020-03-01 00:00:00 UTC
GEZ344,Pure electric,2020-03-01 00:00:00 UTC
LNZ96,Pure electric,2020-03-01 00:00:00 UTC
OXZ7049,Pure electric,2020-03-01 00:00:00 UTC
OXZ1188,Pure electric,2020-03-01 00:00:00 UTC
RGZ3771,Pure electric,2020-03-01 00:00:00 UTC
TXI1234,Pure electric,2020-03-01 00:00:00 UTC
HIL3082,Pure electric,2020-03-01 00:00:00 UTC
OXZ3181,Pure electric,2020-03-01 00:00:00 UTC
RGZ1666,Pure electric,2020-03-01 00:00:00 UTC
RRZ3250,Pure electric,2020-03-01 00:00:00 UTC
